"Table 2.  Detailed Occupation1 by Median Earnings in the Past 12 Months, Sex and Education for Full-Time, Year-Round Workers: ACS 2016",,,,,,,,,,,,,,,,,,,
"Universe: Full-time, year-round, civilian employed population 25 years and over with earnings ",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Total,,,,,,Less than Bachelor's degree,,,,,,Bachelor's degree or higher,,,,,,
Adhesive bonding machine operators and tenders," 27,082 "," 8,141 "," 37,809 "," 14,749 "," 19,444 "," 4,512 "," 26,672 "," 7,653 "," 38,194 "," 14,869 "," 18,741 "," 4,437 "," 41,707 "," 35,119 ", - , ** ," 42,470 "," 38,890 ",
"Cleaning, washing, and metal pickling equipment operators and tenders"," 32,258 "," 2,394 "," 34,129 "," 3,944 "," 25,705 "," 8,919 "," 32,396 "," 2,395 "," 34,129 "," 3,944 "," 26,295 "," 8,590 ", - , ** , - , ** , - , ** ,
Cooling and freezing equipment operators and tenders," 47,836 "," 5,070 "," 48,882 "," 3,926 "," 33,696 "," 33,997 "," 47,439 "," 7,453 "," 48,906 "," 4,586 "," 33,696 "," 33,997 "," 48,824 "," 54,641 "," 48,824 "," 54,641 ", - , ** ,
Etchers and engravers," 32,420 "," 7,571 "," 36,131 "," 7,292 "," 31,489 ", 890 ," 32,268 "," 6,769 "," 36,406 "," 6,252 "," 30,969 ", 929 ," 46,010 "," 12,644 "," 31,119 "," 15,615 "," 62,889 "," 27,004 ",
"Molders, shapers, and casters, except metal and plastic"," 33,130 "," 3,884 "," 35,219 "," 3,565 "," 25,836 "," 6,096 "," 32,586 "," 3,846 "," 34,555 "," 3,679 "," 22,308 "," 8,804 "," 40,424 "," 11,504 "," 41,334 "," 2,073 "," 31,180 "," 7,158 ",
"Paper goods machine setters, operators, and tenders"," 40,062 "," 3,353 "," 43,292 "," 6,779 "," 27,455 "," 4,555 "," 39,616 "," 3,544 "," 42,238 "," 5,507 "," 27,744 "," 4,751 "," 61,061 "," 10,082 "," 61,579 "," 5,843 "," 22,713 "," 11,802 ",
Tire builders," 42,460 "," 3,964 "," 42,419 "," 3,684 "," 46,125 "," 18,900 "," 42,332 "," 3,868 "," 42,328 "," 3,721 "," 45,100 "," 19,980 "," 47,530 "," 9,082 "," 44,452 "," 8,695 ", - , ** ,
Helpers--production workers," 28,530 "," 3,357 "," 30,342 "," 2,557 "," 25,789 "," 3,906 "," 28,425 "," 3,520 "," 30,469 "," 2,258 "," 25,219 "," 4,647 "," 30,020 "," 9,987 "," 26,768 "," 4,598 "," 37,048 "," 56,452 ",
"Production workers, all other"," 36,164 ", 353 ," 40,044 ", 529 ," 28,213 ", 970 ," 35,812 ", 377 ," 39,570 ", 910 ," 27,498 ", 738 ," 42,229 "," 2,748 "," 46,773 "," 3,623 "," 38,633 "," 2,887 ",
Transportation and Material Moving Occupations," 38,522 ", 360 ," 40,568 ", 130 ," 28,759 ", 560 ," 37,498 ", 287 ," 40,253 ", 129 ," 27,529 ", 440 ," 47,112 ", 920 ," 49,176 "," 1,866 "," 40,567 "," 1,219 ",
Transportation Occupations," 42,408 ", 195 ," 44,604 ", 715 ," 32,657 "," 1,508 "," 42,021 ", 174 ," 43,141 ", 775 ," 31,743 ", 411 ," 51,299 ", 535 ," 51,737 ", 587 ," 46,158 "," 2,274 ",
Supervisors of transportation and material moving workers," 51,992 ", 706 ," 55,434 "," 1,664 "," 41,287 "," 1,317 "," 51,154 ", 834 ," 53,850 "," 2,330 "," 40,275 "," 1,487 "," 60,060 "," 3,933 "," 61,387 "," 3,621 "," 51,520 "," 5,547 ",
Aircraft pilots and flight engineers," 102,405 "," 4,648 "," 104,347 "," 5,536 "," 90,665 "," 19,189 "," 89,266 "," 11,245 "," 90,820 "," 8,611 "," 62,244 "," 22,929 "," 117,380 "," 9,925 "," 120,108 "," 9,817 "," 99,171 "," 23,134 ",
Air traffic controllers and airfield operations specialists," 94,459 "," 6,566 "," 96,832 "," 8,098 "," 75,551 "," 17,284 "," 91,318 "," 9,741 "," 95,176 "," 10,539 "," 61,762 "," 29,273 "," 97,682 "," 8,723 "," 100,068 "," 11,377 "," 93,196 "," 54,575 ",
Flight attendants," 50,309 "," 1,960 "," 60,232 "," 3,880 "," 46,581 "," 3,462 "," 48,295 "," 5,135 "," 55,066 "," 6,892 "," 46,410 "," 6,931 "," 51,337 "," 2,742 "," 62,848 "," 10,673 "," 46,767 "," 3,960 ",
"Ambulance drivers and attendants, except emergency medical technicians"," 29,054 "," 2,672 "," 29,034 "," 2,696 "," 29,556 "," 7,757 "," 28,090 "," 2,987 "," 28,042 "," 3,585 "," 29,315 "," 7,563 "," 62,067 "," 134,152 "," 70,075 "," 199,972 ", - , ** ,
Bus drivers," 35,383 ", 479 ," 38,986 "," 1,815 "," 29,806 "," 1,085 "," 35,245 ", 594 ," 39,293 "," 1,868 "," 29,462 "," 1,148 "," 36,731 "," 1,503 "," 37,179 "," 2,521 "," 33,947 "," 5,416 ",
Driver/sales workers and truck drivers," 43,425 ", 775 ," 44,330 ", 768 ," 35,108 "," 2,990 "," 43,384 ", 775 ," 44,340 ", 779 ," 33,224 "," 3,079 "," 44,124 "," 2,433 "," 44,169 "," 2,376 "," 42,154 "," 8,334 ",
Taxi drivers and chauffeurs," 28,140 "," 1,322 "," 29,350 "," 1,485 "," 25,499 "," 1,126 "," 27,903 "," 1,441 "," 29,506 "," 1,586 "," 25,176 "," 1,342 "," 29,311 "," 2,848 "," 28,750 "," 3,111 "," 32,028 "," 8,337 ",
"Motor vehicle operators, all other"," 32,044 "," 3,328 "," 32,676 "," 2,618 "," 24,238 "," 17,583 "," 32,582 "," 3,600 "," 33,075 "," 2,678 "," 24,494 "," 22,304 "," 29,415 "," 4,615 "," 30,132 "," 4,284 ", - , ** ,
Locomotive engineers and operators," 85,844 "," 2,112 "," 86,161 "," 2,156 "," 80,335 "," 9,350 "," 85,730 "," 2,591 "," 86,021 "," 2,648 "," 80,943 "," 10,161 "," 86,446 "," 9,253 "," 86,817 "," 14,292 "," 76,402 "," 27,508 ",
"Railroad brake, signal, and switch operators"," 61,612 "," 5,533 "," 62,142 "," 5,359 ", - , ** ," 60,949 "," 8,077 "," 61,515 "," 6,160 ", - , ** ," 90,693 "," 33,054 "," 90,693 "," 33,054 ", - , ** ,
Railroad conductors and yardmasters," 73,738 "," 3,776 "," 75,459 "," 3,474 "," 58,473 "," 5,729 "," 75,112 "," 3,650 "," 75,628 "," 3,354 "," 58,294 "," 8,342 "," 70,440 "," 10,299 "," 72,021 "," 13,957 "," 60,253 "," 37,358 ",
"Subway, streetcar, and other rail transportation workers"," 66,551 "," 2,172 "," 67,275 "," 4,118 "," 50,528 "," 32,930 "," 66,211 "," 2,806 "," 66,972 "," 2,918 "," 50,528 "," 32,930 "," 73,304 "," 15,765 "," 73,304 "," 15,765 ", - , ** ,
Sailors and marine oilers," 50,692 "," 2,683 "," 51,088 "," 2,598 "," 48,132 "," 21,460 "," 50,559 "," 2,795 "," 51,163 "," 2,816 "," 36,920 "," 23,144 "," 52,268 "," 7,336 "," 50,384 "," 11,123 ", - , ** ,
Ship and boat captains and operators," 73,963 "," 8,423 "," 74,801 "," 10,917 "," 60,649 "," 9,435 "," 74,524 "," 10,769 "," 74,718 "," 11,597 "," 37,681 "," 41,832 "," 72,096 "," 9,100 "," 80,251 "," 18,621 "," 61,068 "," 3,330 ",
Ship engineers," 76,346 "," 3,198 "," 75,780 "," 4,496 ", - , ** ," 75,818 "," 4,896 "," 75,301 "," 8,182 ", - , ** ," 110,702 "," 24,728 "," 111,125 "," 33,249 ", - , ** ,
Bridge and lock tenders," 52,465 "," 6,796 "," 54,118 "," 5,855 "," 46,458 "," 20,185 "," 55,160 "," 6,582 "," 55,406 "," 6,022 "," 46,458 "," 20,185 "," 41,376 "," 17,947 "," 41,376 "," 17,947 ", - , ** ,
Parking lot attendants," 24,655 "," 1,137 "," 25,202 "," 1,129 "," 23,533 ", 903 ," 24,557 "," 1,107 "," 25,130 "," 1,265 "," 23,558 ", 904 ," 25,643 "," 5,690 "," 25,711 "," 5,535 "," 21,106 "," 432,180 ",
Automotive and watercraft service attendants," 26,653 "," 1,407 "," 27,067 "," 2,110 "," 22,959 "," 4,511 "," 26,216 "," 1,477 "," 26,610 "," 1,782 "," 23,059 "," 4,497 "," 45,169 "," 29,272 "," 45,277 "," 28,016 ", - , ** ,
Transportation inspectors," 60,745 "," 2,631 "," 62,132 "," 2,702 "," 41,384 "," 4,067 "," 58,044 "," 5,546 "," 60,981 "," 1,893 "," 36,314 "," 3,914 "," 70,081 "," 8,620 "," 72,454 "," 5,582 "," 55,742 "," 8,598 ",
"Transportation attendants, except flight attendants"," 29,819 "," 2,079 "," 45,315 "," 12,233 "," 27,543 "," 2,306 "," 30,738 "," 2,511 "," 50,079 "," 8,926 "," 26,452 "," 2,403 "," 28,718 ", 692 ," 28,221 "," 4,001 "," 29,046 "," 1,808 ",
Other transportation workers," 40,103 "," 3,743 "," 41,919 "," 5,100 "," 27,410 "," 6,994 "," 39,184 "," 4,523 "," 41,602 "," 4,194 "," 27,166 "," 6,895 "," 50,875 "," 25,595 "," 60,100 "," 31,463 ", - , ** ,
Material Moving Occupations," 31,616 ", 141 ," 33,050 ", 597 ," 25,670 ", 310 ," 31,531 ", 146 ," 32,800 ", 607 ," 25,471 ", 322 ," 34,876 "," 1,170 "," 36,007 ", 769 ," 30,891 ", 697 ,
Conveyor operators and tenders," 37,019 "," 4,125 "," 38,294 "," 3,686 "," 30,561 "," 9,552 "," 37,242 "," 4,118 "," 38,123 "," 3,737 "," 31,384 "," 8,561 "," 6,942 "," 64,337 ", - , ** , - , ** ,
Crane and tower operators," 60,534 "," 2,332 "," 60,675 "," 2,240 "," 40,682 "," 34,129 "," 60,133 "," 3,486 "," 60,323 "," 3,007 "," 37,194 "," 31,029 "," 66,940 "," 6,581 ", - , ** , - , ** ,
"Dredge, excavating, and loading machine operators"," 45,059 "," 4,000 "," 45,348 "," 3,209 "," 31,116 "," 7,272 "," 45,512 "," 2,747 "," 45,802 "," 2,177 "," 31,116 "," 7,272 "," 27,040 "," 18,910 "," 27,040 "," 18,910 ", - , ** ,
Hoist and winch operators," 50,411 "," 7,218 "," 50,717 "," 4,129 ", - , ** ," 50,430 "," 7,129 "," 50,737 "," 3,710 ", - , ** , - , ** , - , ** , - , ** ,
Industrial truck and tractor operators," 33,734 ", 894 ," 33,855 ", 972 ," 32,803 "," 1,727 "," 33,707 ", 919 ," 33,877 ", 994 ," 32,479 "," 1,528 "," 34,530 "," 3,021 "," 33,291 "," 3,295 "," 51,558 "," 12,820 ",
Cleaners of vehicles and equipment," 26,951 ", 496 ," 27,506 "," 1,287 "," 22,619 "," 1,756 "," 26,877 ", 487 ," 27,471 "," 1,170 "," 22,399 "," 1,485 "," 30,691 "," 2,092 "," 30,576 "," 3,887 "," 31,028 "," 3,272 ",
"Laborers and freight, stock, and material movers, hand"," 31,887 ", 192 ," 33,145 ", 774 ," 27,228 ", 455 ," 31,764 ", 195 ," 32,781 ", 759 ," 26,979 ", 474 ," 35,760 ", 900 ," 36,208 ", 942 ," 31,751 "," 1,615 ",
Machine feeders and offbearers," 30,138 "," 3,539 "," 34,283 "," 4,312 "," 22,418 "," 2,967 "," 30,151 "," 3,455 "," 34,006 "," 4,222 "," 22,326 "," 2,887 "," 27,436 "," 12,797 "," 36,524 "," 35,660 "," 25,113 "," 7,693 ",
"Packers and packagers, hand"," 24,492 ", 594 ," 27,054 ", 664 ," 22,175 ", 368 ," 24,256 ", 560 ," 27,042 ", 691 ," 22,070 ", 371 ," 27,289 "," 2,150 "," 27,203 "," 2,466 "," 27,407 "," 4,208 ",
Pumping station operators," 62,206 "," 2,905 "," 62,162 "," 1,920 "," 67,083 "," 101,404 "," 61,662 "," 1,255 "," 61,639 "," 1,341 "," 65,882 "," 127,591 "," 70,889 "," 6,436 "," 70,689 "," 6,962 ", - , ** ,
Refuse and recyclable material collectors," 34,013 "," 3,419 "," 35,530 "," 1,970 "," 25,216 "," 2,823 "," 32,948 "," 3,284 "," 35,100 "," 3,195 "," 25,526 "," 2,209 "," 42,771 "," 8,546 "," 45,682 "," 6,466 "," 18,624 "," 23,137 ",
Mine shuttle car operators," 43,866 "," 18,188 "," 43,808 "," 18,677 ", - , ** ," 43,866 "," 18,188 "," 43,808 "," 18,677 ", - , ** , - , ** , - , ** , - , ** ,
"Tank car, truck, and ship loaders"," 45,723 "," 8,052 "," 45,888 "," 8,291 ", - , ** ," 44,763 "," 8,158 "," 45,094 "," 8,515 ", - , ** ," 50,872 "," 53,041 "," 50,872 "," 53,041 ", - , ** ,
"Material moving workers, all other"," 37,063 "," 2,254 "," 37,543 "," 3,063 "," 33,259 "," 10,153 "," 37,009 "," 1,973 "," 37,395 "," 2,621 "," 34,241 "," 9,150 "," 42,091 "," 40,382 "," 51,833 "," 51,868 ", - , ** ,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,
"An ""-"" entry indicates that too few sample observations were available to compute an estimate or the category is not applicable.",,,,,,,,,,,,,,,,,,,
** An '**' entry in the margin of error column indicates that  too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.,,,,,,,,,,,,,,,,,,,
1 Occupation codes are based on the Standard Occupational Classification 2010. ,,,,,,,,,,,,,,,,,,,
"2 Data are based on a sample and are subject to sampling variability. A margin of error is a measure of an estimate's variability. The larger the margin of error in relation to the size of the estimates, the less reliable the estimate. When added to and subtracted from the estimate, the margin of error forms the 90 percent confidence interval. ",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, 2016 American Community Survey. For more information, see https://www.census.gov/programs-surveys/acs/",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Internet release date: ,,,,,,,,,,,,,,,,,,,
